Timestamp,Event,Confidence
2026-06-25_11-52-07,FIRE,0.796
2026-06-25_11-52-12,FIRE,0.844
2026-06-25_11-52-16,FIRE,0.902
2026-06-25_11-52-20,FIRE,0.805
2026-06-25_11-52-25,FIRE,0.774
2026-06-25_11-52-32,FIRE,0.804
2026-06-25_11-53-23,FIRE,0.809
2026-06-25_11-53-37,FIRE,0.839
2026-06-25_11-53-50,FIRE,0.771
2026-06-25_11-53-59,FIRE,0.855
2026-06-25_11-54-05,FIRE,0.701
2026-06-25_11-54-27,FIRE,0.79
2026-06-25_11-54-49,FIRE,0.719
2026-06-25_11-55-07,FIRE,0.874
2026-06-25_11-55-17,FIRE,0.922
2026-06-25_11-55-30,FIRE,0.886
2026-06-25_11-55-58,FIRE,0.914
2026-06-25_11-56-20,FIRE,0.76
2026-06-25_11-56-32,FIRE,0.881
2026-06-25_11-56-38,FIRE,0.869
2026-06-25_11-56-44,FIRE,0.833
2026-06-25_11-56-49,FIRE,0.666
2026-06-25_11-56-53,FIRE,0.839
2026-06-25_11-57-01,FIRE,0.763
2026-06-25_11-57-35,FIRE,0.837
2026-06-25_11-58-17,FIRE,0.843
2026-06-25_11-58-31,FIRE,0.908
2026-06-25_11-58-38,FIRE,0.806
2026-06-25_11-58-44,FIRE,0.876
2026-06-25_11-58-49,FIRE,0.882
2026-06-25_11-59-03,FIRE,0.679
2026-06-25_11-59-14,FIRE,0.724
2026-06-25_12-00-52,FIRE,0.913
2026-06-25_12-01-21,FIRE,0.655
2026-06-25_12-01-50,FIRE,0.653
2026-06-25_12-02-31,FIRE,0.612
2026-06-25_12-02-52,FIRE,0.718
2026-06-25_12-03-00,FIRE,0.64
2026-06-25_12-03-07,FIRE,0.768
2026-06-25_12-03-13,FIRE,0.824
2026-06-25_12-03-34,FIRE,0.653
2026-06-25_12-03-56,FIRE,0.854
2026-06-25_12-04-07,FIRE,0.783
2026-06-25_12-05-16,FIRE,0.871
2026-06-25_12-05-27,FIRE,0.925
2026-06-25_12-05-36,FIRE,0.743
2026-06-25_12-05-52,FIRE,0.835
2026-06-25_12-05-56,FIRE,0.841
2026-06-25_12-06-07,FIRE,0.857
2026-06-25_12-06-18,FIRE,0.92
2026-06-25_12-06-45,FIRE,0.625
2026-06-25_12-07-11,FIRE,0.839
2026-06-25_12-07-49,FIRE,0.892
2026-06-25_12-07-58,FIRE,0.838
2026-06-25_12-08-09,FIRE,0.876
2026-06-25_12-08-20,FIRE,0.85
2026-06-25_12-08-27,FIRE,0.831
2026-06-25_12-08-59,FIRE,0.92
2026-06-25_12-09-08,FIRE,0.876
2026-06-25_12-09-13,FIRE,0.9
